timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/19 12:52:27.652, P0, 55, 65 %, 88.31 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:27.856, P0, 55, 43 %, 23.24 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:28.060, P0, 55, 95 %, 37.86 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:28.266, P0, 55, 12 %, 23.54 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:28.471, P0, 55, 52 %, 75.05 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:28.675, P0, 55, 99 %, 77.57 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:28.879, P0, 67, 99 %, 27.35 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:29.105, P0, 67, 19 %, 30.23 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:29.309, P0, 67, 66 %, 77.16 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:29.514, P0, 65, 99 %, 78.38 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:29.718, P0, 65, 99 %, 26.49 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:29.925, P0, 65, 4 %, 36.38 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:30.135, P0, 56, 62 %, 96.61 W, 2580 MHz, 8101 MHz
2026/09/19 12:52:30.340, P0, 56, 99 %, 96.77 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:30.545, P0, 56, 71 %, 22.56 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:30.750, P0, 73, 2 %, 96.11 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:30.957, P0, 73, 98 %, 96.77 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:31.161, P0, 73, 99 %, 23.38 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:31.385, P0, 57, 1 %, 22.60 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:31.589, P0, 57, 97 %, 75.47 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:31.836, P0, 66, 100 %, 76.25 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:32.040, P0, 66, 100 %, 76.43 W, 2565 MHz, 8101 MHz
