timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/19 17:48:03.628, P0, 70, 99 %, 97.24 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:03.832, P0, 70, 50 %, 23.58 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:04.080, P0, 59, 1 %, 23.57 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:04.284, P0, 59, 82 %, 75.48 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:04.488, P0, 59, 100 %, 76.04 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:04.691, P0, 67, 100 %, 76.23 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:04.895, P0, 67, 100 %, 76.72 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:05.099, P0, 67, 100 %, 76.69 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:05.302, P0, 68, 100 %, 77.89 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:05.506, P0, 68, 100 %, 74.79 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:05.710, P0, 68, 46 %, 48.81 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:05.914, P0, 57, 2 %, 46.47 W, 2580 MHz, 8101 MHz
2026/09/19 17:48:06.117, P0, 57, 90 %, 76.38 W, 2580 MHz, 8101 MHz
2026/09/19 17:48:06.342, P0, 57, 100 %, 76.64 W, 2580 MHz, 8101 MHz
2026/09/19 17:48:06.546, P0, 68, 100 %, 76.74 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:06.750, P0, 68, 100 %, 76.76 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:06.953, P0, 68, 100 %, 76.81 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:07.157, P0, 68, 100 %, 76.82 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:07.361, P0, 68, 100 %, 75.71 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:07.565, P0, 68, 38 %, 65.93 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:07.769, P0, 61, 6 %, 56.06 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:07.973, P0, 61, 45 %, 56.30 W, 2565 MHz, 8101 MHz
